V_TRI_FORM_R_EZ.ACCURACY_SCORE,V_TRI_FORM_R_EZ.ACTIVE_DATE,V_TRI_FORM_R_EZ.ACTIVE_STATUS,V_TRI_FORM_R_EZ.AIR_TOTAL_RELEASE,V_TRI_FORM_R_EZ.CHEM_NAME,V_TRI_FORM_R_EZ.CHEM_PROCESSING_AID,V_TRI_FORM_R_EZ.CITY_NAME,V_TRI_FORM_R_EZ.DISP_LANDFILL_SURF_IMP,V_TRI_FORM_R_EZ.DISP_LAND_TREATMENT,V_TRI_FORM_R_EZ.DISP_OTHER_LAND_DISP,V_TRI_FORM_R_EZ.EST_ANNUAL_REDUCT_2,V_TRI_FORM_R_EZ.FACILITY_NAME,V_TRI_FORM_R_EZ.FAC_CLOSED_IND,V_TRI_FORM_R_EZ.GENERIC_CHEM_NAME,V_TRI_FORM_R_EZ.IMPORTED,V_TRI_FORM_R_EZ.LANDF_8795_RELEASE_NA,V_TRI_FORM_R_EZ.LANDF_8795_RELEASE_RANGE_CODE,V_TRI_FORM_R_EZ.LANDF_8795_TOT_REL,V_TRI_FORM_R_EZ.LAND_TOTAL_RELEASE,V_TRI_FORM_R_EZ.LAND_TREA_BASIS_EST_CODE,V_TRI_FORM_R_EZ.LAND_TREA_RELEASE_RANGE_CODE,V_TRI_FORM_R_EZ.LAND_TREA_TOT_REL,LATITUDE,LONGITUDE,V_TRI_FORM_R_EZ.OFF_SITE_CITY_1,V_TRI_FORM_R_EZ.OFF_SITE_CITY_3,V_TRI_FORM_R_EZ.OFF_SITE_CITY_4,V_TRI_FORM_R_EZ.ONS_WASTESTREAM_CODE_9,V_TRI_FORM_R_EZ.OTH_DISP_TOT_REL,V_TRI_FORM_R_EZ.OTH_LANDF_BASIS_EST_CODE,V_TRI_FORM_R_EZ.OTH_LANDF_RELEASE_NA,V_TRI_FORM_R_EZ.SOURCE,V_TRI_FORM_R_EZ.TRI_CHEM_ID,V_TRI_FORM_R_EZ.TRI_FACILITY_ID,V_TRI_FORM_R_EZ.WATER_TOTAL_RELEASE
25,1987,1,0,Certain glycol ethers,0,SAEGERTOWN,0,0,0,,PARKER LORD CORP,0,NA,0,,,0,0,,,0,41.713056,-80.141944,,,,,0,,,Reported,N230,16433LRDCRSOUTH,0
50,1987,1,245,Methyl methacrylate,1,KARTHAUS,0,0,0,,NYDREE FLOORING LLC,0,NA,0,,,0,0,,,0,41.18568,-78.145405,SUMTER,,,,0,,1,Reported,80626,1684WNYDRF468QU,0
30,1987,1,0,Nickel,0,HONEY BROOK,0,0,0,,R-V INDUSTRIES INC,0,NA,0,,,0,0,,,0,40.10514,-75.92386,NARVON,PHILADELPHIA,,,0,,1,Reported,7440020,19344RVNDS584PO,0
30,1987,1,0,Copper,0,ETTERS,0,0,0,,FCI USA LLC,0,NA,1,,,0,0,,,0,40.16083,-76.81686,GREENVILLE,HARVEY,HARRISBURG,,0,,1,Reported,7440508,17319DPNTV825OL,0
50,1987,1,0,Copper,0,EMPORIUM,0,0,0,,GKN SINTER METALS CAMERON RD,0,NA,0,,,0,0,,,0,41.507784,-78.221925,ST. MARYS,,,,0,,1,Reported,7440508,15834PNNSYONECA,0
100,1987,1,4398,Ammonia,0,COLVER,0,0,0,,COLVER GREEN ENERGY,0,NA,0,,,0,0,,,0,40.5504,-78.7989,,,,,0,,1,Reported,7664417,15927CLVRP141IN,0
200,1987,1,44568.1,Benzene,0,PHILADELPHIA,31.14,0,0,,PHILADELPHIA ENERGY SOLUTIONS REFINING PHILADELPHIA REFINERY,0,NA,1,,,0,0,,,0,39.9147,-75.2005,LAFAYETTE,HATFIELD,YORK,,0,,1,Reported,71432,19145TLNTC3144P,22
30,1987,1,1.36,Antimony  And Antimony Compounds,0,HATFIELD,711,0,0,,PENN COLOR INC,0,NA,0,,,0,0,,,0,40.29564,-75.29828,AVON,PAULDING,MYERSTOWN,,0,,1,Reported,N010,19440PNNCL2755B,0
30,1987,1,1.33,Lead,0,YORK,10.34,0,0,,H & H CASTINGS,0,NA,0,,,0,0,,,0,39.99709,-76.62908,CONESTOGA,,,,0,,1,Reported,7439921,1740WHHCST43LIN,0
30,1987,1,0,Methanol,0,BEDFORD,0,0,0,,KENNAMETAL BEDFORD CASTING PLANT,0,NA,0,,,0,0,,,0,40.032778,-78.487222,,,,,0,,,Reported,67561,15522KNNMTRD1CH,0
30,1987,1,0,Manganese compounds,0,DARLINGTON,0,0,0,,ALLIANCE TUBULAR HOLDINGS LLC,0,NA,0,,,0,0,,,0,40.7988,-80.46073,,,,,0,,,Reported,N450,16115PTTSBCANNE,0
30,1987,1,255,Manganese  And Manganese Compounds,0,ERIE,0,0,0,,BASF CORP,0,NA,0,,,0,0,,,0,42.131944,-80.045833,OREGON,,,,0,,1,Reported,N450,16503CLSCT1707G,993
30,1987,1,2.4,Nickel,0,JONESTOWN,0,0,0,,SUPREME MID-ATLANTIC CORP,0,NA,0,,,0,0,,,0,40.41416,-76.49757,CLEVELAND,,,,0,,1,Reported,7440020,1703WSPRMM249RT,0
30,1987,1,0,Nickel,0,EMPORIUM,0,0,0,,GKN SINTER METALS - AIRPORT ROAD,0,NA,0,,,0,0,,,0,41.50881,-78.24641,ST. MARYS,,,,0,,1,Reported,7440020,15834GKNSNRR2AI,0
8,1987,1,1133,Ammonia,0,CHESTER,0,0,0,,EVONIK CORP,0,NA,0,,,0,0,,,0,39.837605,-75.37294,,,,,0,,1,Reported,7664417,19013NRTHM1200W,0
30,1987,1,0,Copper,0,YORK,0,0,0,,H & H CASTINGS,0,NA,0,,,0,0,,,0,39.99709,-76.62908,,,,,0,,,Reported,7440508,1740WHHCST43LIN,0
30,1987,1,0,Nickel compounds,0,WAYNESBORO,0,0,0,,NOVAE CORP - CAM SUPERLINE,0,NA,0,,,0,0,,,0,39.77522,-77.61988,WAYNESBORO,,,,0,,1,Reported,N495,1726WCMSPR4763Z,0
10,1987,1,0.54,Lead  And Lead Compounds,0,BRADDOCK,0,0,0,,HARSCO METALS - BRI,0,NA,0,,,0,0,,,0,40.391532,-79.852382,,,,,0,,1,Reported,N420,15104HRSCH13THB,0
17430,1987,1,0.124,Lead,0,LEWISBURG,0,0,0,,US BUREAU OF PRISONS LEWISBURG PENITENTIARY,0,NA,0,,,0,206.08,,,0,40.988773,-76.975042,,,,,206.08,,1,Reported,7439921,17837NTDSTRD5XX,0
35936,1987,1,1,Chromium,0,HARMONY,0,0,0,,400 ROBINSON FANS,0,NA,0,,,0,0,,,0,40.80027,-80.13222,MINGO JUNCTION,,,,0,,1,Reported,7440473,16063RBNSNGALLY,0
30,1987,1,0,Methanol,0,WARREN,0,0,0,,UNITED REFINING CO,0,NA,0,,,0,0,,,0,41.82949,-79.12468,,,,,0,,,Reported,67561,16365NTDRFPOBOX,0
50,1987,1,0,Manganese compounds,0,ALLENTOWN,0,0,0,,PHOENIX HOTFORM,0,NA,0,,,0,0,,,0,40.589489,-75.624116,PHILADELPHIA,,,,0,,1,Reported,N450,18106PHNXH7550W,0
50,1987,1,126,Nickel  And Nickel Compounds,0,LATROBE,141,0,0,,LATROBE SPECIALTY METALS,0,NA,0,,,0,0,,,0,40.302598,-79.372804,AMSTERDAM,CANTON,YOUNGSTOWN,,0,,1,Reported,N495,15650LTRBS2626L,0
100,1987,1,1,Phenol,0,ROCHESTER,3,0,0,,SHERWIN-WILLIAMS CO,0,NA,0,,,0,0,,,0,40.7115,-80.2885,DETROIT,GRAFTON,,,0,,1,Reported,108952,15074THVLS372CL,0
50,1987,1,0,Lead,0,NESQUEHONING,0,0,0,,AMETEK CHEMICAL PRODUCTS DIV,0,NA,0,,,0,0,,,0,40.859596,-75.839862,,,,,0,,1,Reported,7439921,18240MTKWSGREEN,0
30,1987,1,194.32,Manganese compounds,0,NEW CASTLE,0,0,0,,TMS INTERNATIONAL LLC/NEW CASTLE PLT,0,NA,0,,,0,0,,,0,40.96368,-80.36981,,,,,0,,1,Reported,N450,1610WTMSNT28RUN,0
30,1987,1,80.84,Copper,0,BENSALEM,0,0,0,,NATIONAL REFRIGERATION & A/C PRODUCTS,0,NA,1,,,0,0,,,0,40.08042,-74.92569,PHILADELPHIA,,,,0,,1,Reported,7440508,19020NTNLR539DU,0
30,1987,1,0,Copper,0,EMPORIUM,0,0,0,,GKN SINTER METALS - AIRPORT ROAD,0,NA,0,,,0,0,,,0,41.50881,-78.24641,ST. MARYS,,,,0,,1,Reported,7440508,15834GKNSNRR2AI,0
18505,1995,1,0,Diisocyanates,0,NEW BERLINVILLE,0,0,0,,BOYERTOWN FOUNDRY CO,0,NA,0,,,0,0,,,0,40.338056,-75.633611,,,,,0,,,Reported,N120,19545BYRTW9THRO,0
50,1995,1,0,3-Iodo-2-propynyl butylcarbamate,0,WARMINSTER,0,0,0,,CASTROL INDUSTRIAL WARMINSTER,0,NA,0,,,0,0,,,0,40.20234,-75.08443,,,,,0,,,Reported,55406536,18974CSTRL775LO,0
10,1987,1,0,Chromium compounds (except for chromite ore mined in the Transvaal Region),0,PORT ALLEGANY,0,0,0,,ARDAGH GLASS INC,0,NA,0,,,0,0,,,0,41.81787,-78.28699,,,,,0,,,Reported,N090,16743BLLGLONEGL,0
30,1987,1,0,Nickel,0,CAMBRIDGE SPRINGS,0,0,0,,MEADVILLE FORGING CO,0,NA,0,,,0,0,,,0,41.80958,-80.06325,PHOENIX,,,,0,,1,Reported,7440020,16403MDVLL440MC,0
100,1987,1,123,Zinc compounds,0,COLVER,0,42831,0,,COLVER GREEN ENERGY,0,NA,0,,,0,0,,,0,40.5504,-78.7989,COLVER,INDIANA,INDIANA,,0,,1,Reported,N982,15927CLVRP141IN,0
30,1987,1,0,Chromium,0,ERIE,0,0,0,,MCINNES ROLLED RINGS,0,NA,0,,,0,0,,,0,42.13528,-80.04788,ERIE,,,,0,,1,Reported,7440473,16511MCNNS1533E,2.5
50,1987,1,0,Antimony  And Antimony Compounds,0,ALTOONA,34.5,0,0,,ALPHA ASSEMBLY SOLUTIONS,0,NA,1,,,0,0,,,0,40.48546,-78.41596,JOHNSTOWN,,,,0,,1,Reported,N010,16602FDRTD6THAV,0.8
50,1987,1,7.13,Xylene (mixed isomers),0,MERCER,0,0,0,,MERCER PLANT,0,NA,0,,,0,0,,,0,41.174665,-80.232179,,,,,0,,1,Reported,1330207,1613WMRCRP121PE,0
50,1987,1,1.54,Cobalt  And Cobalt Compounds,0,HOMER CITY,24.3,0,0,,PRIME METALS ACQUISITIONS LLC,0,NA,0,,,0,0,,,0,40.56195,-79.156642,SARVER,VARENES,,,0,,1,Reported,N096,15748PRMMT11INN,0
50,1987,1,46500,Methanol,0,BRADDOCK,0,0,0,,USS MON VALLEY WORKS - EDGAR THOMSON PLANT,0,NA,0,,,0,0,,,0,40.395854,-79.863372,,,,,0,,1,Reported,67561,15104SSDGRBRADD,0
8,1987,1,205,Copper,0,EDINBORO,870,0,0,,PENN-UNION CORP,0,NA,0,,,0,0,,,0,41.877457,-80.121826,DETROIT,ASHTABULA,SCHILLER PARK,,0,,1,Reported,7440508,16412TLDYN229WA,0
5,1987,1,106.362,Nickel,0,RED LION,0,0,0,,TATE ACCESS FLOORS INC,0,NA,0,,,0,0,,,0,39.889192,-76.592442,TEMPLE,,,,0,,1,Reported,7440020,17356SGNTRSOUTH,1.497
30,1987,1,3,Manganese,0,NEW BRIGHTON,179,0,0,,DAMASCUSS STEEL LLC,0,NA,0,,,0,0,,,0,40.74032,-80.30245,ZELIENOPLE,,,,0,,1,Reported,7439965,15066DMSCSPOBOX,5
25,1987,1,5.6,Copper compounds,0,TOWANDA,4835,0,0,,GLOBAL TUNGSTEN & POWDERS CORP,0,NA,1,,,0,5,,,0,41.786389,-76.445278,AKRON,HATFIELD,LAKEWOOD,,5,,1,Reported,N100,18848GTPRDHAWES,134.2
25,1987,1,5274.2,Toluene,0,MILL HALL,62,0,0,,AVERY DENNISON MILL HALL,0,NA,0,,,0,0,,,0,41.1153,-77.468133,LIVONIA,AVON,EAST CHICAGO,,0,,1,Reported,108883,17751VRYCHDRAKE,0
30,1987,1,52,Zinc compounds,0,LEBANON,891,0,0,,SHERWIN-WILLIAMS CO,0,NA,0,,,0,0,,,0,40.34464,-76.46929,NEW CASTLE,LEBANON,NEWARK,,0,,1,Reported,N982,17046NGNRD35HAN,0
30,1987,1,0,Zinc compounds,0,LANCASTER,0,0,0,,HUBBARD FEEDS INC,0,NA,0,,,0,0,,,0,40.04813,-76.40288,,,,,0,,,Reported,N982,17601CNTNN3349H,0
30,1987,1,58,Naphthalene,0,LANCASTER,0,0,0,,OMNIMAX INTERNATIONAL LLC,0,NA,0,,,0,0,,,0,40.0417,-76.4043,BELLEVILLE,,,,0,,1,Reported,91203,17603LMXLM450RI,0
17400,1987,1,52.89,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),0,EBENSBURG,0,0,127138,,EBENSBURG POWER CO,0,NA,0,,,0,0,,,0,40.455,-78.7472,HOMER CITY,NANTY GLO,NANTY GLO,,0,,1,Reported,N040,15931BNSBR2840N,0
31,1987,1,131,Copper compounds,0,PITTSBURGH,29686,0,0,,CALGON CARBON CORP NEVILLE ISLAND PLANT,0,NA,0,,,0,0,,,0,40.492329,-80.079626,LOWELLVILLE,,,,0,,1,Reported,N100,15225CLGNC200NE,0
31,1987,1,540,Certain glycol ethers,0,HARWICK,0,0,0,,WATSON STANDARD CO HARWICK PLANT,0,NA,0,,,0,0,,,0,40.554416,-79.809568,EAST CHICAGO,,,,0,,1,Reported,N230,15049WTSNS616HI,0
17400,1987,1,49,Zinc compounds,0,NORTHAMPTON,0,288601,0,,NORTHAMPTON GENERATING PLANT,0,NA,0,,,0,0,,,0,40.691957,-75.479887,EBERVALE,,,,0,,1,Reported,N982,18067NRTHM1HORW,38
8,1987,1,115,Toluene,0,MORRISVILLE,0,0,0,,BRIGHTSMITH LLC,0,NA,0,,,0,0,,,0,40.170437,-74.766998,GRAFTON,,,,0,,1,Reported,108883,19067PRFNS1295N,0
50,1987,1,10,Copper,0,TITUSVILLE,83,0,0,,UNIVERSAL STAINLESS & ALLOY PRODUCTS INC,0,NA,0,,,0,0,,,0,41.62677,-79.66052,KERSEY,,,,0,,1,Reported,7440508,16354NVRSL121CA,0
10,1987,1,85.88,Methyl methacrylate,0,SPRINGDALE,0,0,0,,PPG INDUSTRIESINC-SPRINGDALE COMPLEX,0,NA,0,,,0,0,,,0,40.536826,-79.785659,NEW KENSINGTON,,,,0,,1,Reported,80626,15144PPGND125CO,0
17430,1987,1,0.07,Lead compounds,0,BUTLER,0,0,0,,HARSCO METALS - BUTLER,0,NA,0,,,0,0,,,0,40.83013,-79.933445,,,,,0,,1,Reported,N420,16001HCKTTARMCO,0
10,1987,1,480,Xylene (mixed isomers),0,MIDDLETOWN,0,0,0,,HIGHSPIRE TERMINALS - DE LLC/HIGHSPIRE TERMINAL,0,NA,0,,,0,0,,,0,40.221389,-76.791111,LANCASTER,NEWBURGH,,,0,,1,Reported,1330207,17105LDRDP900SE,18
1,1995,1,1.6,Polycyclic aromatic compounds,0,MONTGOMERY,0,0,0,,KOPPERS INC (SUSQUEHANNA),0,NA,0,,,0,0,,,0,41.191419,-76.824138,EL DORADO,,,,0,,1,Reported,N590,17752KPPRSTOWNS,1.2
10,1987,1,0.4,Mercury  And Mercury Compounds,0,TREMONT,0,0,0,,RAUSCH CREEK GENERATION LLC,0,NA,0,,,0,17.52,,,0,40.6191,-76.4502,VALLEY VIEW,,,,17.52,,1,Reported,N458,17981WSTWDUSRTE,0
50,1987,1,1710.46,Aluminum (fume or dust),0,PALMERTON,0,0,0,,AMPAL,0,NA,1,,,0,0,,,0,40.818325,-75.553682,EAST POINT,CONCORD,,,0,,1,Reported,7429905,18071MPLNCRD2LI,0
5,1987,1,350.206,Manganese,0,RED LION,0,0,0,,TATE ACCESS FLOORS INC,0,NA,0,,,0,0,,,0,39.889192,-76.592442,TEMPLE,,,,0,,1,Reported,7439965,17356SGNTRSOUTH,7.933
5,1987,1,3400,Peracetic acid,0,NEW HOLLAND,0,0,0,,TYSON POULTRY INC-NEW HOLLAND COMPLEX,0,NA,0,,,0,0,,,0,40.090833,-76.086667,,,,,0,,1,Reported,79210,17557VCTRF403SO,0
30,1987,1,30,Ethylbenzene,0,LANCASTER,0,0,0,,OMNIMAX INTERNATIONAL LLC,0,NA,0,,,0,0,,,0,40.0417,-76.4043,BELLEVILLE,,,,0,,1,Reported,100414,17603LMXLM450RI,0
18501,1987,1,938,Xylene (mixed isomers),1,WEST ELIZABETH,0,0,14,,EASTMAN CHEMICAL RESINS INC,0,NA,0,,,0,0,,,0,40.265833,-79.901111,BALTIMORE,SOUTH PARK,EAST LIVERPOOL,,0,,1,Reported,1330207,15088HRCLSSTATE,1
10,1987,1,590.05,1 2 4-Trimethylbenzene,0,BRADFORD,0,0,0,,AMERICAN REFINING GROUP INC,0,NA,0,,,0,0,,,0,41.965472,-78.633108,AVON,,,,0,,1,Reported,95636,16701KNDLL77NKE,0
50,1987,1,2865,Manganese  And Manganese Compounds,0,BRADDOCK,1600843,0,0,,USS MON VALLEY WORKS - EDGAR THOMSON PLANT,0,NA,0,,,0,0,,,0,40.395854,-79.863372,INDIANAPOLIS,DRAVOSBURG,MONROEVILLE,,0,,1,Reported,N450,15104SSDGRBRADD,3707
50,1987,1,0,Manganese  And Manganese Compounds,0,AMBRIDGE,0,0,0,,IPSCO KOPPEL TUBULARS CORP,0,NA,0,,,0,0,C ,,0,40.610067,-80.232283,PITTSBURGH,,,,0,C ,0,Reported,N450,15003BBCCKDUSSA,49.11
50,1987,1,10,Manganese  And Manganese Compounds,0,WILKES-BARRE,95.6,0,0,,INTERMETRO INDUSTRIES CORP,0,NA,0,,,0,0,,,0,41.262223,-75.849629,MEDINA,,,,0,,1,Reported,N450,18705NTRMT1101N,0
5,1987,1,4.755,Zinc compounds,0,RED LION,0,0,0,,TATE ACCESS FLOORS INC,0,NA,0,,,0,0,,,0,39.889192,-76.592442,TEMPLE,,,,0,,1,Reported,N982,17356SGNTRSOUTH,3.592
17480,2000,1,0.0001323,Dioxin and dioxin-like compounds,0,TUNKHANNOCK,0,0,0,,THE PROCTER & GAMBLE PAPER PRODUCTS CO,0,NA,1,,,0,0,,,0,41.573441,-76.04696,BAINBRIDGE,,,,0,,1,Reported,N150,18629PRCTRROUTE,0.0000492
30,1987,1,0,Copper,0,YORK,0,0,0,,IWM - WIRE FACILITY,0,NA,0,,,0,0,,,0,39.97766,-76.72303,COLUMBIA,,,,0,,1,Reported,7440508,17405NWYRK829LO,5
25,1995,1,0,Sodium nitrite,0,ALTOONA,0,0,0,,UNIVAR SOLUTIONS USA INC ALTOONA PA,0,NA,0,,,0,0,,,0,40.464167,-78.428611,,,,,0,,,Reported,7632000,16602MDSTT6THAV,0
530,1987,1,0.26,Lead  And Lead Compounds,0,FAIRLESS HILLS,0,0,0,,US STEEL FAIRLESS HILLS WORKS,0,NA,0,,,0,0,,,0,40.17182,-74.850518,FAIRLESS HILLS,MORRISVILLE,INDIANAPOLIS,,0,,1,Reported,N420,19030SSFRLMAILS,1.3
30,1987,1,0,Nickel compounds,0,POTTSVILLE,0,0,0,,WORLD RESOURCES CO,0,NA,0,,,0,0,,,0,40.6877,-76.23315,,,,,0,,,Reported,N495,17901WRLDRWALNU,0
30,1987,1,1150.63,Ethylene glycol,0,NORRISTOWN,0,0,0,,AMAZON SERVICES INC,0,NA,0,,,0,0,,,0,40.12351,-75.39841,,,,,0,,1,Reported,107211,1940WWDNCX2455B,0
50,1987,1,0,Lead  And Lead Compounds,0,HOMESTEAD,0,0,0,,WHEMCO-STEEL CASTINGS INC,0,NA,0,,,0,0,,,0,40.39911,-79.92189,AUSTINTOWN,,,,0,,1,Reported,N420,15120WSTHMWESTS,0
30,1987,1,8.09543,Lead compounds,0,BLOSSBURG,2083,0,0,,WARD MANUFACTURING LLC,0,NA,0,,,0,0,,,0,41.67194,-77.06143,BURLINGTON,CANONSBURG,,,0,,1,Reported,N420,16912WRDMN115GU,743
50,1987,1,0,Naphthalene,0,READING,0,0,0,,BRENNTAG NORTHEAST - SNYDER ROAD,0,NA,0,,,0,0,,,0,40.429586,-75.932825,,,,,0,,,Reported,91203,1960WBRNNT619SB,0
17466,1987,1,589,Nitric acid,1,ERIE,0,0,0,,LORD CORP,0,NA,0,,,0,0,,,0,42.041667,-80.083333,,,,,0,,1,Reported,7697372,16509BSHND2455R,0
50,2000,1,0.2,Benzo[g h i]perylene,0,MC ALISTERVILLE,0,0,0,,STELLA - JONES CORP,0,NA,0,,,0,0,,,0,40.620163,-77.254015,BENTON,,,,0,,1,Reported,191242,17049HPMCGPARTE,0
50,1987,1,26417,Methanol,0,BRADDOCK,0,0,0,,TMS INTERNATIONAL LLC,0,NA,0,,,0,0,,,0,40.39726,-79.85975,,,,,0,,1,Reported,67561,15104MSDVT13BRA,0
30,1987,1,7.18,Manganese  And Manganese Compounds,0,LEWISBURG,0,0,0,,PLAYWORLD INC,0,NA,0,,,0,0,,,0,40.9673,-76.907,WILLIAMSPORT,,,,0,,1,Reported,N450,17837PLYWR1BUFF,0
50,1987,1,0,Lead compounds,0,DENVER,0,0,0,,KALAS MANUFACTURING INC PLANT 2,0,NA,0,,,0,0,,,0,40.224581,-76.111932,,,,,0,,1,Reported,N420,17517KLSPLDENVE,0.19
20,1995,1,0,Diisocyanates,0,MOUNTAIN TOP,4717,0,0,,TEMPUR PRODUCTION USA LLC DBA MOUNTAIN TOP FOAM,0,NA,0,,,0,0,,,0,41.12817,-75.89909,YORK,,,,0,,1,Reported,N120,18707SLYCM25ELM,0
